CustomerID,TransactionDate,Quantity,UnitPrice
CUST00089,2023-01-01,2,26.69
CUST00794,2023-01-01,12,32.7
CUST00221,2023-01-01,16,36.59
CUST00212,2023-01-01,20,17.05
CUST00500,2023-01-01,11,34.52
CUST00449,2023-01-01,4,48.51
CUST00232,2023-01-01,19,30.69
CUST00233,2023-01-01,16,39.44
CUST00064,2023-01-01,16,29.32
CUST00498,2023-01-01,2,32.95
CUST00563,2023-01-01,1,43.88
CUST00756,2023-01-01,5,49.74
CUST00823,2023-01-01,4,27.17
CUST00133,2023-01-01,14,10.17
CUST00824,2023-01-01,17,49.7
CUST00065,2023-01-01,1,36.3
CUST00909,2023-01-01,5,23.86
CUST00804,2023-01-01,5,34.08
CUST00851,2023-01-01,6,26.72
CUST00332,2023-01-01,14,40.22
CUST00994,2023-01-01,10,28.94
CUST00350,2023-01-01,10,6.17
CUST00747,2023-01-01,8,16.76
CUST00124,2023-01-01,1,16.9
CUST00499,2023-01-01,20,12.55
CUST00019,2023-01-02,4,46.54
CUST00535,2023-01-02,20,12.79
CUST00818,2023-01-02,2,27.87
CUST00842,2023-01-02,4,48.06
CUST00064,2023-01-02,15,33.2
CUST00544,2023-01-02,1,18.16
CUST00578,2023-01-02,2,7.18
CUST00205,2023-01-02,14,35.09
CUST00320,2023-01-02,4,11.67
CUST00519,2023-01-02,15,45.24
CUST00628,2023-01-02,3,21.75
CUST00233,2023-01-02,10,25.7
CUST00904,2023-01-02,10,48.66
CUST00556,2023-01-02,9,12.25
CUST00486,2023-01-02,16,36.14
CUST00763,2023-01-02,7,32.09
CUST00983,2023-01-02,19,33.12
CUST00931,2023-01-02,16,14.46
CUST00583,2023-01-02,16,12.13
CUST00661,2023-01-02,6,15.59
CUST00173,2023-01-03,18,31.87
CUST00351,2023-01-03,5,29.2
CUST00183,2023-01-03,8,41.08
CUST00385,2023-01-03,10,15.7
CUST00851,2023-01-03,14,30.76
CUST00600,2023-01-03,6,46.67
CUST00808,2023-01-03,5,40.67
CUST00665,2023-01-03,3,46.53
CUST00477,2023-01-03,2,41.91
CUST00272,2023-01-03,8,22.5
CUST00003,2023-01-03,18,5.83
CUST00525,2023-01-03,5,14.67
CUST00408,2023-01-03,8,21.2
CUST00053,2023-01-03,13,6.94
CUST00012,2023-01-03,7,45.69
CUST00187,2023-01-03,8,41.87
CUST00539,2023-01-03,18,20.42
CUST00628,2023-01-03,1,30.01
CUST00171,2023-01-03,16,46.75
CUST00250,2023-01-03,14,31.1
CUST00302,2023-01-03,5,21.67
CUST00782,2023-01-03,2,43.93
CUST00067,2023-01-04,19,7.85
CUST00301,2023-01-04,5,42.08
CUST00658,2023-01-04,2,33.3
CUST00356,2023-01-04,8,6.71
CUST00961,2023-01-04,3,38.23
CUST00017,2023-01-04,6,20.93
CUST00065,2023-01-04,13,5.43
CUST00822,2023-01-04,3,29.52
CUST00746,2023-01-04,7,14.22
CUST00866,2023-01-04,14,18.31
CUST00455,2023-01-04,8,13.16
CUST00949,2023-01-04,12,21.01
CUST00458,2023-01-04,14,26.35
CUST00511,2023-01-04,16,32.69
CUST00172,2023-01-04,11,42.23
CUST00787,2023-01-04,1,12.77
CUST00557,2023-01-04,1,47.48
CUST00400,2023-01-04,1,45.35
CUST00456,2023-01-04,19,37.67
CUST00410,2023-01-05,13,11.47
CUST00726,2023-01-05,8,12.66
CUST00509,2023-01-05,10,32.81
CUST00924,2023-01-05,8,43.35
CUST00451,2023-01-05,9,39.88
CUST00672,2023-01-05,5,30.82
CUST00449,2023-01-05,14,14.59
CUST00224,2023-01-05,17,14.36
CUST00659,2023-01-05,9,16.01
CUST00165,2023-01-05,8,26.29
CUST00742,2023-01-05,12,18.18
CUST00399,2023-01-05,4,41.58
CUST00546,2023-01-05,3,39.91
CUST00059,2023-01-05,13,18.83
CUST00793,2023-01-05,1,18.7
CUST00805,2023-01-05,13,41.09
CUST00741,2023-01-05,19,13.61
CUST00572,2023-01-05,2,33.14
CUST00973,2023-01-05,7,48.88
CUST00051,2023-01-05,6,21.13
CUST00532,2023-01-05,16,42.01
CUST00363,2023-01-05,13,8.41
CUST00728,2023-01-05,16,39.9
CUST00893,2023-01-05,11,17.58
CUST00709,2023-01-05,12,22.81
CUST00393,2023-01-05,10,6.29
CUST00638,2023-01-05,4,20.27
CUST00042,2023-01-06,11,16.45
CUST00541,2023-01-06,12,26.62
CUST00767,2023-01-06,20,7.7
CUST00622,2023-01-06,19,44.54
CUST00507,2023-01-06,17,17.91
CUST00820,2023-01-06,16,30.58
CUST00658,2023-01-06,13,41.06
CUST00953,2023-01-06,16,49.5
CUST00975,2023-01-06,7,49.34
CUST00629,2023-01-06,6,17.94
CUST00693,2023-01-06,5,20.85
CUST00721,2023-01-06,1,19.47
CUST00309,2023-01-06,14,6.98
CUST00495,2023-01-06,7,28.42
CUST00416,2023-01-06,15,15.24
CUST00981,2023-01-06,20,25.28
CUST00405,2023-01-06,5,41.18
CUST00657,2023-01-06,15,49.8
CUST00253,2023-01-06,15,9.09
CUST00752,2023-01-06,19,43.88
CUST00867,2023-01-06,7,35.97
